period,prediction_date,product_id,product_name,predicted,actual,avg_daily_sales,rank,lookback_days,forecast_days
4,2026-01-01,11827,オホーツクおこっぺ醗酵バター (有塩) 125g,1.0,0,0.14,E,14,7
4,2026-01-01,11587,オホーツクおこっぺ有機のむヨーグルト 180ml,15.0,0,2.14,B,14,7
4,2026-01-01,11828,おこっぺ有機チーズモッツァレラ 100g,1.0,0,0.14,E,14,7
4,2026-01-01,11586,オホーツクおこっぺ有機ヨーグルト砂糖不使用 150g,4.5,2,0.64,D,14,7
4,2026-01-01,9352218003395,sソフトクリーム平干し芋付,0.0,0,0.0,E,14,7
4,2026-01-01,11825,オホーツクおこっぺ有機牛乳 900ml,0.0,0,0.0,E,14,7
4,2026-01-01,11826,オホーツクおこっぺ醗酵バター (食塩不使用) 125g,0.0,0,0.0,E,14,7
4,2026-01-01,11588,おこっぺ醗酵バターケーキ ピース 1個,0.0,0,0.0,E,14,7
4,2026-01-01,14813,醗酵バターケーキ ホール,0.0,0,0.0,E,14,7
4,2026-01-01,11589,おこっぺバタークリームケーキ 1個,0.0,0,0.0,E,14,7
4,2026-01-01,11585,オホーツクおこっぺ有機ヨーグルト 加糖 150g,0.0,0,0.0,E,14,7
4,2026-01-01,13406,おこっぺ季節の有機セミハードチーズ 80g,3.0,0,0.43,C,14,7
4,2026-01-01,13330,ゴーダチーズ 80g,0.0,0,0.0,E,14,7
4,2026-01-01,13331,スモークチーズ 80g,0.0,0,0.0,E,14,7
4,2026-01-01,9352218005121,おこっぺ有機スモークチーズ(キューブ) 40g,0.0,0,0.0,E,14,7
4,2026-01-01,13372,おこっぺ有機ゴーダチーズ 80g,4.0,0,0.57,C,14,7
4,2026-01-01,13373,おこっぺ有機スモークチーズ 80g,1.0,5,0.14,E,14,7
4,2026-01-01,9352218001506,おこっぺ季節の有機セミハードチーズ 80g,0.0,0,0.0,E,14,7
